Accession	Virus Taxonomic ID	Collapse TaxId	Collapse Name
MZ363451.1	1219404	463676	Rhinovirus C
MZ363447.1	1219404	463676	Rhinovirus C
MZ363439.1	1219404	463676	Rhinovirus C
MZ363427.1	1219404	463676	Rhinovirus C
MZ363424.1	1219404	463676	Rhinovirus C
MZ268739.1	1219404	463676	Rhinovirus C
MZ268736.1	1219404	463676	Rhinovirus C
MZ268734.1	1219404	463676	Rhinovirus C
MZ268731.1	1219404	463676	Rhinovirus C
MZ268730.1	1219404	463676	Rhinovirus C
MZ268728.1	1219404	463676	Rhinovirus C
MZ268727.1	1219404	463676	Rhinovirus C
MZ268721.1	1219404	463676	Rhinovirus C
MZ268712.1	1219404	463676	Rhinovirus C
MZ268705.1	1219404	463676	Rhinovirus C
MZ268704.1	1219404	463676	Rhinovirus C
MZ268700.1	1219404	463676	Rhinovirus C
MZ268699.1	1219404	463676	Rhinovirus C
MZ268698.1	1219404	463676	Rhinovirus C
MZ221153.1	1219404	463676	Rhinovirus C
MZ153281.1	1219404	463676	Rhinovirus C
MZ153278.1	1219404	463676	Rhinovirus C
MZ153277.1	1219404	463676	Rhinovirus C
MZ153261.1	1219404	463676	Rhinovirus C
MZ153258.1	1219404	463676	Rhinovirus C
MZ153245.1	1219404	463676	Rhinovirus C
MW969526.1	1219404	463676	Rhinovirus C
OR253702.1	12086	138950	Enterovirus C
OQ451883.1	12086	138950	Enterovirus C
OQ286220.1	12086	138950	Enterovirus C
OQ286219.1	12086	138950	Enterovirus C
OQ286218.1	12086	138950	Enterovirus C
OQ286217.1	12086	138950	Enterovirus C
OQ286216.1	12086	138950	Enterovirus C
OQ286214.1	12086	138950	Enterovirus C
OQ286213.1	12086	138950	Enterovirus C
OQ286210.1	12086	138950	Enterovirus C
OQ286209.1	12086	138950	Enterovirus C
OQ286207.1	12086	138950	Enterovirus C
OQ286205.1	12086	138950	Enterovirus C
OQ286202.1	12086	138950	Enterovirus C
OP137324.1	12086	138950	Enterovirus C
OP137323.1	12086	138950	Enterovirus C
OP137322.1	12086	138950	Enterovirus C
OP137321.1	12086	138950	Enterovirus C
OP137320.1	12086	138950	Enterovirus C
OP137319.1	12086	138950	Enterovirus C
OP137318.1	12086	138950	Enterovirus C
OP137317.1	12086	138950	Enterovirus C
OP137316.1	12086	138950	Enterovirus C
OP137315.1	12086	138950	Enterovirus C
OP137314.1	12086	138950	Enterovirus C
OP137313.1	12086	138950	Enterovirus C
OP137312.1	12086	138950	Enterovirus C
OP137311.1	12086	138950	Enterovirus C
OP137310.1	12086	138950	Enterovirus C
OP137309.1	12086	138950	Enterovirus C
OP137308.1	12086	138950	Enterovirus C
OP137307.1	12086	138950	Enterovirus C
OP137306.1	12086	138950	Enterovirus C
OP137305.1	12086	138950	Enterovirus C
OP137304.1	12086	138950	Enterovirus C
OP137303.1	12086	138950	Enterovirus C
OP137302.1	12086	138950	Enterovirus C
OP137301.1	12086	138950	Enterovirus C
OP137300.1	12086	138950	Enterovirus C
OP137299.1	12086	138950	Enterovirus C
OP137298.1	12086	138950	Enterovirus C
OP137297.1	12086	138950	Enterovirus C
OP137296.1	12086	138950	Enterovirus C
OP137295.1	12086	138950	Enterovirus C
OP137294.1	12086	138950	Enterovirus C
OP137293.1	12086	138950	Enterovirus C
OP137292.1	12086	138950	Enterovirus C
OP137291.1	12086	138950	Enterovirus C
OP137290.1	12086	138950	Enterovirus C
OP137289.1	12086	138950	Enterovirus C
OP137288.1	12086	138950	Enterovirus C
OP137287.1	12086	138950	Enterovirus C
OP137286.1	12086	138950	Enterovirus C
OP137285.1	12086	138950	Enterovirus C
OP137284.1	12086	138950	Enterovirus C
OP137282.1	12086	138950	Enterovirus C
OP137281.1	12086	138950	Enterovirus C
OP137280.1	12086	138950	Enterovirus C
OP137279.1	12086	138950	Enterovirus C
OP137278.1	12086	138950	Enterovirus C
OP137277.1	12086	138950	Enterovirus C
OP137276.1	12086	138950	Enterovirus C
OP137275.1	12086	138950	Enterovirus C
OP137274.1	12086	138950	Enterovirus C
OP137273.1	12086	138950	Enterovirus C
OP137272.1	12086	138950	Enterovirus C
ON221309.1	12086	138950	Enterovirus C
ON221308.1	12086	138950	Enterovirus C
ON221307.1	12086	138950	Enterovirus C
ON207152.1	12086	138950	Enterovirus C
ON207151.1	12086	138950	Enterovirus C
ON207150.1	12086	138950	Enterovirus C
ON207149.1	12086	138950	Enterovirus C
ON207148.1	12086	138950	Enterovirus C
ON207147.1	12086	138950	Enterovirus C
ON207146.1	12086	138950	Enterovirus C
ON207145.1	12086	138950	Enterovirus C
ON207144.1	12086	138950	Enterovirus C
ON207143.1	12086	138950	Enterovirus C
ON207142.1	12086	138950	Enterovirus C
ON207141.1	12086	138950	Enterovirus C
OK042932.1	12086	138950	Enterovirus C
OK042931.1	12086	138950	Enterovirus C
OK042930.1	12086	138950	Enterovirus C
OK042929.1	12086	138950	Enterovirus C
OK042928.1	12086	138950	Enterovirus C
MK028134.1	12086	138950	Enterovirus C
MG212483.1	12086	138950	Enterovirus C
MG212482.1	12086	138950	Enterovirus C
MG212481.1	12086	138950	Enterovirus C
MG212478.1	12086	138950	Enterovirus C
MG212477.1	12086	138950	Enterovirus C
MG212474.1	12086	138950	Enterovirus C
MG212473.1	12086	138950	Enterovirus C
MG212470.1	12086	138950	Enterovirus C
MG212468.1	12086	138950	Enterovirus C
MG212467.1	12086	138950	Enterovirus C
MG212466.1	12086	138950	Enterovirus C
MG212461.1	12086	138950	Enterovirus C
MG212460.1	12086	138950	Enterovirus C
MG212458.1	12086	138950	Enterovirus C
MG212451.1	12086	138950	Enterovirus C
MG212445.1	12086	138950	Enterovirus C
MG212432.1	12086	138950	Enterovirus C
MG212431.1	12086	138950	Enterovirus C
MG212430.1	12086	138950	Enterovirus C
